AD 
PerformanceVector
PerformanceVector:
accuracy: 21.96% +/- 0.80% (micro average: 21.96%)
ConfusionMatrix:
True:	WARRANTS	OTHER OFFENSES	LARCENY/THEFT	VEHICLE THEFT	VANDALISM	NON-CRIMINAL	ROBBERY	ASSAULT	WEAPON LAWS	BURGLARY	SUSPICIOUS OCC	DRUNKENNESS	FORGERY/COUNTERFEITING	DRUG/NARCOTIC	STOLEN PROPERTY	SECONDARY CODES	TRESPASS	MISSING PERSON	FRAUD	KIDNAPPING	RUNAWAY	DRIVING UNDER THE INFLUENCE	SEX OFFENSES FORCIBLE	PROSTITUTION	DISORDERLY CONDUCT	ARSON	FAMILY OFFENSES	LIQUOR LAWS	BRIBERY	EMBEZZLEMENT	SUICIDE	LOITERING	SEX OFFENSES NON FORCIBLE	EXTORTION	GAMBLING	BAD CHECKS	TREA	RECOVERED VEHICLE	PORNOGRAPHY/OBSCENE MAT
DISORDERLY CONDUCT:	4	14	1	0	1	1	0	6	5	0	0	1	0	1	0	1	11	0	0	0	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
ARSON:	0	3	2	1	1	1	0	1	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FAMILY OFFENSES:	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LIQUOR LAWS:	2	2	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
BRIBERY:	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EMBEZZLEMENT:	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUICIDE:	0	0	3	1	1	6	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
LOITERING:	1	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	1	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SEX OFFENSES NON FORCIBLE:	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EXTORTION:	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
